First Losses:
    0: 1.1518437428002197
    1: 1.149888599082892
    2: 1.147946051044043
    3: 1.1460160049101813
    4: 1.1440983677157623
    5: 1.1421930472952364
    6: 1.1402999522751807
    7: 1.1384189920665222
    8: 1.1365500768568393
    9: 1.1346931176027557

    0: 1.5295282720765226
    1: 1.5256032560237633
    2: 1.5217003186980864
    3: 1.5178193309422388
    4: 1.5139601643853797
    5: 1.5101226914380768
    6: 1.5063067852873389
    7: 1.5025123198916799
    8: 1.4987391699762185
    9: 1.4949872110278035

    0: 2.4625134025594755
    1: 2.451008033241587
    2: 2.4395994782189603
    3: 2.4282867493050024
    4: 2.417068869880481
    5: 2.4059448747475463
    6: 2.394913809985687
    7: 2.3839747328095755
    8: 2.3731267114287458
    9: 2.3623688249091135

Second Losses:
    0: 1.7386730689636982
    1: 1.7143171886729933
    2: 1.694888550244326
    3: 1.6790617865911366
    4: 1.6611406518839789
    5: 1.648251222704884
    6: 1.6296506068077836
    7: 1.6959252691399442
    8: 1.6216609414911618
    9: 1.5845941660286735

    0: 0.8289835194710398
    1: 0.8267219360292393
    2: 0.8307563721807334
    3: 0.8175061047892936
    4: 0.8112773706279967
    5: 0.8094676973121445
    6: 0.8030233093041138
    7: 0.7990069998441821
    8: 0.7959018680301025
    9: 0.7903258317578448

    0: 1.1361919285008941
    1: 1.1593820947038866
    2: 1.1181201180919027
    3: 1.1150345444733645
    4: 1.1073974359739762
    5: 1.096822294331815
    6: 1.0892845954147785
    7: 1.0908260075715337
    8: 1.0744215436007856
    9: 1.07499179258997
